date,category,value
1979,Coal,15.039586
1979,Geothermal,0.013269
1979,Hydroelectric,0.965855
1979,Natural Gas,20.665817
1979,Nuclear,2.775827
1979,Petroleum,37.075478
1980,Biomass,2.4755
1980,Coal,15.422809
1980,Geothermal,0.017309
1980,Hydroelectric,0.952569
1980,Natural Gas,20.235459
1980,Nuclear,2.739169
1980,Petroleum,34.158965
1981,Biomass,2.596283
1981,Coal,15.907526
1981,Geothermal,0.019401
1981,Hydroelectric,0.900238
1981,Natural Gas,19.74731
1981,Nuclear,3.007589
1981,Petroleum,31.883616
1982,Biomass,2.663452
1982,Coal,15.321581
1982,Geothermal,0.016524
1982,Hydroelectric,1.06582
1982,Natural Gas,18.356222
1982,Nuclear,3.131148
1982,Petroleum,30.17923
1983,Biomass,2.904414
1983,Coal,15.894442
1983,Geothermal,0.020728
1983,Hydroelectric,1.144012
1983,Natural Gas,17.220836
1983,Nuclear,3.202549
1983,Petroleum,29.997044
1983,Wind,0.000009
1984,Biomass,2.97112
1984,Coal,17.070622
1984,Geothermal,0.026411
1984,Hydroelectric,1.10655
1984,Natural Gas,18.393613
1984,Nuclear,3.552531
1984,Petroleum,30.992232
1984,Solar,0.000018
1984,Wind,0.000022
1985,Biomass,3.016233
1985,Coal,17.478428
1985,Geothermal,0.031818
1985,Hydroelectric,0.970068
1985,Natural Gas,17.703482
1985,Nuclear,4.075563
1985,Petroleum,30.866482
1985,Solar,0.000036
1985,Wind,0.00002
1986,Biomass,2.932095
1986,Coal,17.260405
1986,Geothermal,0.035171
1986,Hydroelectric,1.003146
1986,Natural Gas,16.591364
1986,Nuclear,4.380109
1986,Petroleum,32.150143
1986,Solar,0.000048
1986,Wind,0.000014
1987,Biomass,2.874884
1987,Coal,18.008451
1987,Geothermal,0.036766
1987,Hydroelectric,0.862745
1987,Natural Gas,17.639801
1987,Nuclear,4.753933
1987,Petroleum,32.817479
1987,Solar,0.000036
1987,Wind,0.000012
1988,Biomass,3.016049
1988,Coal,18.846312
1988,Geothermal,0.035144
1988,Hydroelectric,0.771456
1988,Natural Gas,18.448393
1988,Nuclear,5.586968
1988,Petroleum,34.172792
1988,Solar,0.000031
1988,Wind,0.000003
1989,Biomass,3.159357
1989,Coal,19.069762
1989,Geothermal,0.059093
1989,Hydroelectric,0.927985
1989,Natural Gas,19.601606
1989,Nuclear,5.602161
1989,Petroleum,34.163952
1989,Solar,0.052495
1989,Wind,0.007206
1990,Biomass,2.735112
1990,Coal,19.172635
1990,Geothermal,0.062862
1990,Hydroelectric,0.999258
1990,Natural Gas,19.603267
1990,Nuclear,6.10435
1990,Petroleum,33.499918
1990,Solar,0.055962
1990,Wind,0.009515
1991,Biomass,2.781797
1991,Coal,18.99167
1991,Geothermal,0.065478
1991,Hydroelectric,0.986048
1991,Natural Gas,20.032958
1991,Nuclear,6.422132
1991,Petroleum,32.789101
1991,Solar,0.05804
1991,Wind,0.010069
1992,Biomass,2.931678
1992,Coal,19.122471
1992,Geothermal,0.066863
1992,Hydroelectric,0.863536
1992,Natural Gas,20.713632
1992,Nuclear,6.479206
1992,Petroleum,33.467661
1992,Solar,0.059819
1992,Wind,0.009852
1993,Biomass,2.908172
1993,Coal,19.835148
1993,Geothermal,0.069883
1993,Hydroelectric,0.957046
1993,Natural Gas,21.229
1993,Nuclear,6.410499
1993,Petroleum,33.587587
1993,Solar,0.061682
1993,Wind,0.010256
1994,Biomass,3.027534
1994,Coal,19.909463
1994,Geothermal,0.066207
1994,Hydroelectric,0.887549
1994,Natural Gas,21.728067
1994,Nuclear,6.693877
1994,Petroleum,34.45342
1994,Solar,0.06341
1994,Wind,0.011762
1995,Biomass,3.101142
1995,Coal,20.088727
1995,Geothermal,0.059747
1995,Hydroelectric,1.060561
1995,Natural Gas,22.671139
1995,Nuclear,7.075436
1995,Petroleum,34.341117
1995,Solar,0.064396
1995,Wind,0.010796
1996,Biomass,3.156806
1996,Coal,21.001914
1996,Geothermal,0.064089
1996,Hydroelectric,1.184517
1996,Natural Gas,23.084647
1996,Nuclear,7.086674
1996,Petroleum,35.588927
1996,Solar,0.065052
1996,Wind,0.011035
1997,Biomass,3.10522
1997,Coal,21.445411
1997,Geothermal,0.066545
1997,Hydroelectric,1.216219
1997,Natural Gas,23.222716
1997,Nuclear,6.596992
1997,Petroleum,36.065115
1997,Solar,0.064172
1997,Wind,0.011219
1998,Biomass,2.92749
1998,Coal,21.655744
1998,Geothermal,0.068209
1998,Hydroelectric,1.103221
1998,Natural Gas,22.830226
1998,Nuclear,7.067809
1998,Petroleum,36.719796
1998,Solar,0.063455
1998,Wind,0.010324
1999,Biomass,2.96329
1999,Coal,21.622544
1999,Geothermal,0.06989
1999,Hydroelectric,1.090257
1999,Natural Gas,22.909227
1999,Nuclear,7.610256
1999,Petroleum,37.732135
1999,Solar,0.06201
1999,Wind,0.015313
2000,Biomass,3.008227
2000,Coal,22.579528
2000,Geothermal,0.068686
2000,Hydroelectric,0.940254
2000,Natural Gas,23.823977
2000,Nuclear,7.862349
2000,Petroleum,38.151574
2000,Solar,0.059349
2000,Wind,0.019084
2001,Biomass,2.622356
2001,Coal,21.914268
2001,Geothermal,0.069363
2001,Hydroelectric,0.740271
2001,Natural Gas,22.772558
2001,Nuclear,8.028853
2001,Petroleum,38.083673
2001,Solar,0.056968
2001,Wind,0.022988
2002,Biomass,2.700621
2002,Coal,21.903989
2002,Geothermal,0.073188
2002,Hydroelectric,0.90189
2002,Natural Gas,23.510081
2002,Nuclear,8.145429
2002,Petroleum,38.117422
2002,Solar,0.055128
2002,Wind,0.035329
2003,Biomass,2.806471
2003,Coal,22.320928
2003,Geothermal,0.076615
2003,Hydroelectric,0.941051
2003,Natural Gas,22.830642
2003,Nuclear,7.959622
2003,Petroleum,38.707001
2003,Solar,0.05357
2003,Wind,0.038172
2004,Biomass,3.008073
2004,Coal,22.466195
2004,Geothermal,0.080335
2004,Hydroelectric,0.91584
2004,Natural Gas,22.923061
2004,Nuclear,8.222774
2004,Petroleum,40.139253
2004,Solar,0.053021
2004,Wind,0.048258
2005,Biomass,3.11393
2005,Coal,22.796543
2005,Geothermal,0.083928
2005,Hydroelectric,0.922336
2005,Natural Gas,22.565364
2005,Nuclear,8.16081
2005,Petroleum,40.216568
2005,Solar,0.051939
2005,Wind,0.06077
2006,Biomass,3.26214
2006,Coal,22.44716
2006,Geothermal,0.086406
2006,Hydroelectric,0.986909
2006,Natural Gas,22.238738
2006,Nuclear,8.214626
2006,Petroleum,39.730512
2006,Solar,0.054095
2006,Wind,0.090722
2007,Biomass,3.484824
2007,Coal,22.749466
2007,Geothermal,0.091042
2007,Hydroelectric,0.844504
2007,Natural Gas,23.662759
2007,Nuclear,8.458589
2007,Petroleum,39.367615
2007,Solar,0.056946
2007,Wind,0.117543
2008,Biomass,3.851392
2008,Coal,22.387437
2008,Geothermal,0.096834
2008,Hydroelectric,0.869485
2008,Natural Gas,23.842953
2008,Nuclear,8.426491
2008,Petroleum,36.769383
2008,Solar,0.061096
2008,Wind,0.188899
2009,Biomass,3.940009
2009,Coal,19.691205
2009,Geothermal,0.10491
2009,Hydroelectric,0.932995
2009,Natural Gas,23.41594
2009,Nuclear,8.35522
2009,Petroleum,34.77915
2009,Solar,0.062525
2009,Wind,0.252099
2010,Biomass,4.505629
2010,Coal,20.833968
2010,Geothermal,0.111428
2010,Hydroelectric,0.887813
2010,Natural Gas,24.574754
2010,Nuclear,8.434433
2010,Petroleum,35.320511
2010,Solar,0.067853
2010,Wind,0.322953
2011,Biomass,4.616493
2011,Coal,19.657784
2011,Geothermal,0.115758
2011,Hydroelectric,1.089639
2011,Natural Gas,24.954539
2011,Nuclear,8.268698
2011,Petroleum,34.639174
2011,Solar,0.076126
2011,Wind,0.410043
2012,Biomass,4.516951
2012,Coal,17.378234
2012,Geothermal,0.116599
2012,Hydroelectric,0.942532
2012,Natural Gas,26.088582
2012,Nuclear,8.061822
2012,Petroleum,33.833083
2012,Solar,0.093797
2012,Wind,0.480484
2013,Biomass,4.861035
2013,Coal,18.038633
2013,Geothermal,0.117323
2013,Hydroelectric,0.916345
2013,Natural Gas,26.805134
2013,Nuclear,8.244433
2013,Petroleum,34.397925
2013,Solar,0.11965
2013,Wind,0.572669
2014,Biomass,5.012637
2014,Coal,17.997632
2014,Geothermal,0.117672
2014,Hydroelectric,0.884959
2014,Natural Gas,27.382833
2014,Nuclear,8.337559
2014,Petroleum,34.657827
2014,Solar,0.16105
2014,Wind,0.619808
2015,Biomass,5.008496
2015,Coal,15.54887
2015,Geothermal,0.117811
2015,Hydroelectric,0.849861
2015,Natural Gas,28.191095
2015,Nuclear,8.336886
2015,Petroleum,35.368127
2015,Solar,0.196175
2015,Wind,0.650732
2016,Biomass,5.053445
2016,Coal,14.225905
2016,Geothermal,0.117498
2016,Hydroelectric,0.913775
2016,Natural Gas,28.400352
2016,Nuclear,8.426753
2016,Petroleum,35.711903
2016,Solar,0.250888
2016,Wind,0.774499
2017,Biomass,5.035305
2017,Coal,13.837465
2017,Geothermal,0.117842
2017,Hydroelectric,1.024736
2017,Natural Gas,28.048685
2017,Nuclear,8.418968
2017,Petroleum,36.043156
2017,Solar,0.328623
2017,Wind,0.867681
2018,Biomass,5.096018
2018,Coal,13.251532
2018,Geothermal,0.11798
2018,Hydroelectric,0.998092
2018,Natural Gas,31.162834
2018,Nuclear,8.438068
2018,Petroleum,36.89182
2018,Solar,0.383634
2018,Wind,0.930341
2019,Biomass,5.047849
2019,Coal,11.315595
2019,Geothermal,0.116293
2019,Hydroelectric,0.982225
2019,Natural Gas,32.263692
2019,Nuclear,8.451852
2019,Petroleum,36.866381
2019,Solar,0.429747
2019,Wind,1.009551
2020,Biomass,4.535061
2020,Coal,9.181109
2020,Geothermal,0.117716
2020,Hydroelectric,0.973355
2020,Natural Gas,31.669385
2020,Nuclear,8.251075
2020,Petroleum,32.331134
2020,Solar,0.51057
2020,Wind,1.153045
2021,Biomass,4.753156
2021,Coal,10.548526
2021,Geothermal,0.118007
2021,Hydroelectric,0.858407
2021,Natural Gas,31.711113
2021,Nuclear,8.130913
2021,Petroleum,35.242737
2021,Solar,0.625305
2021,Wind,1.290407
2022,Biomass,4.980123
2022,Coal,9.887939
2022,Geothermal,0.118389
2022,Hydroelectric,0.869339
2022,Natural Gas,33.378622
2022,Nuclear,8.06102
2022,Petroleum,35.31863
2022,Solar,0.763995
2022,Wind,1.481823
2023,Biomass,5.021971
2023,Coal,8.170788
2023,Geothermal,0.119346
2023,Hydroelectric,0.835948
2023,Natural Gas,33.683836
2023,Nuclear,8.098974
2023,Petroleum,35.44823
2023,Solar,0.878414
2023,Wind,1.436934
2024,Biomass,5.101924
2024,Coal,7.903373
2024,Geothermal,0.11697
2024,Hydroelectric,0.826474
2024,Natural Gas,34.204789
2024,Nuclear,8.173249
2024,Petroleum,35.58994
2024,Solar,1.098252
2024,Wind,1.547186
